review_rating,review_title,review_body
5,Shiny mat,I bought this mat being totally unaware of its quality.It is very durable and beautiful.It has a shiny texture which makes it look more elegant.
5,Quality product,"Good quality of mat, its color combination of chek design is look verybeautiful, size is perfect as described."
5,I like it,Nice
3,Okay,Normal
2,Nice,Not bad
1,incorrect size,size mentioned on site differs from the actual one. actual one's width is larger
4,Good quality.,Good quality material used.
4,Good,Ok
4,Good product,Good old regular chatai which we have used for yearsIts good size and good quality as described in the product description.Wish i had a choice of colors and design but it was okay.
4,value for money,value for money
1,Very cheap quality,"Very cheap quality, very light, small in size wear and tears from everywhere.Even100 rp is very expensive for this."
5,Excellent work,Comfortable to sleep/sit on
1,Bad quality did not get what was shown,
1,Quality bad,Quality bad
1,Very bad quality waste purchase,Very very poor quality waste of money and time
1,Very bad quality,"Very bad product, or size is very short"
1,I got damaged mat on delivery,
1,Not good,It wore off in 2 month
1,"Poor quality, colour not the same as showing on display of Amazon",Accept return and stop fooling customer's
1,Very cheap totally different from image,Dislike
1,"Low quality ,complete different from image","Very low quality , totally different from image"
1,Wrong and low quality,Don't like
1,"I don't get what I purchased ,I only get just a chattai mat that i don't like",Dislike
5,Very good product,Very good product
5,Good product,Good product
3,Under quality.,"Measurements are as mentioned in description, but quality should get better."
4,Good,Good
5,It's very good,Its very good by all means
4,Good,Just wowww..... wonderful product with low budget ??
5,Cool product...,Good one for picnic...you can easily fold it and bring wherever you want...
3,Not bad,Don't expect the same color as shown in the product description. I thought I had ordered Green and got the blue one. Got the same one again when I replaced.But it's quiet durable and the side stitch is also better than the ones I bought locally.
2,Damage,Received damage product
4,I personally feel a bit expensive but product is ok,Product is ok but I feel a bit expensive
4,So so,"The product is so so, not worthy for the money"
4,Nice,Nice product but material is average
3,Item is OK.,Item is OK.
5,Handy,Carrying it is very convenient....If folded properly
4,Useful product,Useful product.
5,Good,Good
5,Good,Good
5,Best,Nice
3,Not so good,Dislike
5,Glow home reversable and foldable plastic chatai size -6'*9',Awesome and mind blowing pirchase. Value of money. you can go through blindly.
1,"I placed an order for 2 mats, upon checking I see only 1 Mat delivered","The item seems to be okay, but I made payment for 2 mats, and only 1 got delivered."
5,Nice and big. Great pop of colour. Well made with a good material.,Nice and big. Great pop of colour. Well made with a good material.
2,Avoid it,Material is not so heavy. It’s light. Not good value
5,Good quality product.,Durable.
2,Quality is not good and length is less than the ordered size,Not satisfied with quality and size.
2,Different from image and size,Different from image and size
5,Occupying very less place because of folding facilities,Everry thing is like
1,poor quality....,bhangar quality
5,Superb,Very useful to my father..thank you Amazon
5,Superb&worth,Value for money
5,Nice one,Good quality
1,Quality is very low not durable,Colour also very dull quality us very light not satisfied with tha product..
5,It's very good.,The folding feature is such a plus for me. I take this out to my terrace whenever I want to sit there. It's very comfortable. Then i can fold it up and take it with me downstairs. Very convinient.
5,love it,"i love the quality, the colours and how it folds up so well. it makes it easy to store and carry. veery happy with it."
5,excellent,outstanding quality ??
5,Beautiful,"Love this chatai, beautiful colour and very nice"
5,Awesum beautiful,Vry smart awesum product . Total I ordered 2 more.. total 3
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
