review_rating,review_title,review_body
2,Product is not upto the mark,Product is expensive when compared to the quality and comfort. It is made with grass sticks and threads. In many places grass sticks are coming out. Thread knitting is not strong enough to hold the grass sticks and thread together. It's not Rs.1000 worth definately
4,It is nice only one problem how to wash or clean because it is an organic,Good but how to clean if we put water then it may not last long .
1,Size mismatch and low quality,I ordered 2 mats in a single order of same size and one was smaller than quoted size. Also the quality of the product is very low.
4,Worth buying this,Worth buying this . Very soft and good quality product . Can be used as carpet
3,The Chatai Matress is good but the Stiches are not done properly.,The stiching should be proffitional as on delivery we saw the folds stitches are open
4,Not so bad,Not so bad
1,The product damaged with in two months of usage .waste of money,
5,Top quality hand-woven product!,I liked the quality of product. Highly recommended. Loved how you can fold it in a very compact size.But I had to return it since I wanted bigger size. And I couldn't have afforded that size mat.
4,Not plastic,Nice quality
3,"Not 6 ft ,it's 5 1/2","Ok product, but it's not 6 ft in length as advertised, don't fall for the pictorial ads as it's misleading.Poor photo-shopskills"
1,Not worth the money,Is it pretty... Yes.Is it durable... NoIs it sturdy... NoIs it easy to clean... NoIs it value for money... NoIs it a good buy... No
4,Good product.,Good product. Very compact and good to carry on short camping trips too.
5,Good looking and sturdy mat,"I am very impressed with this mat, it is very good looking. It seems it is made from natural fibers, as advertised and supports the local artisans. I liked the design and it folds also in a neat small roll. Overall happy with the product."
4,nice,I liked it
4,Ok,Ok
5,A very good buy,Very useful
5,Review after 3 Months of usage,"Real good purchase. Very comfortable to sit on. Very easy to fold & transport. Colour is quite bright too. Plus, it's eco-friendly. Go for it!"
5,Paisa Wasool,"Good Quality and Desi Mat for use in Pooja, Balcony etc."
4,Very easy to handle,Looks are good and easy to fold.
4,Hand crafted very well stitched.,Very nice.
4,Go for it.,"Good product, nice quality "
4,Good,Its hand made.
2,Hand made chatai,Although chatai is neatly made but it is too thin to spread straight on thefloor. I ordered it for yoga...Apart from itthe chatai came to me in a huge agly pack though it could be sent in a very slim packet .
5,Loved it :),Not like other mats. It's beautiful and almost gives a look of carpet. I loved it :)
5,Beautiful,"It looks great . But before buying ,keep it mind its durability as it needs to be handled carefully. Its handmade material."
5,Execellent,I usually don’t write reviews but couldn’t stop myself for this one. This mat made me so happy..exactly what I wanted. I would recommend it to everyone
5,Light Weight,Light Weight and Easy to carry for outdoor use. Suitable for indoor use also. We are using it to sit on floor.
3,Price very high,Good one but size very short. price also high
5,Good to buy,Product is same as mentioned. Main thing that it is comfortable as made with natural things
5,"Having very Beautiful colours, look amazing","Size is very large and it looks so beautiful, i just loved it. Value for money. Go for it without any doubt."
5,Great looks and comfortable to use,Stunning product. Has great looks and low thermal conductivity to protect from the cold ingress from the floor. Great... Keep going
5,Delighted,Delightful. Though a bit costly but got a really
5,Valu for money nice product,Nice
2,Got torn too soon,Subpar quality. Got torn too soon after regular usage. Gaps developed in many places. Would not recommend for daily usage.
1,Very overpriced,Not at all worth the price
5,Impressive Finish & very convenient to Roll,Craftsmanship was very good & liked the colours & design combination.
5,Very nice. Hand-madesuper.must buy it,Supet product. Amazing
5,Good one,Good one
5,Must buy,It a very good n quality product. So nice n lovely n more comfortable. Should buy it..
5,Excellent quality,Good buy
5,Good,Sleeping..
1,Product is damaged with in a month itself and the return or replace option is closed,The media could not be loaded.Product is damaged too early but I lost the option to replace or return option. Please do the needful on this. Based on the price I expected that it would last more than the desi thiwachi. But it is damaged with in a month itself. It’s too bad experience with this kind of product.
5,Excellent product,This product is very goodand as per shown in pic
1,Mat teared with in 25 dys worst product,The media could not be loaded.Mat got teared with in 25 dys worst product ..
5,Good product,Good quality
5,Happy,"Delivered in good condition,large in size and nice design."
5,Good,Value for money . Easy to maintain
2,Used and dirty item was sent,Used item was sent. It was having stains from spilled tea and having threads coming out from multiple places
5,Say yes to this mat,"It’s meeting the quality & comfort, a good resting ally ."
5,Good Quality,Good quality.... Worth of money.... Comfortable...
5,Excellent,A very very nice product. Awesome.
5,Very nice looking,Good product...bit pricy...go for it
5,Amazing Product,Great quality
5,Happy to get it,"Very nice product,"
5,Good quality,Too good...
5,Best in look and good quality!,The media could not be loaded.
5,Go for it.,Very nice quality.
1,"Very delicate, with in the cost range in local market we can get better quality","Very delicate, with in the cost range in local market we can get better quality"
1,Very thin,It's thin like bedsheet. Not useful as a mat. Also very slippery. Not useful for yoga also.
1,Damaged product,Product Received just now and we opened the package surprise - it’s damaged productYou can check attached screenshots
1,Bad,The media could not be loaded.Material very bad
1,Poor quality,The stitches started seperating of in a weks time. The bamboo strands are all broken
1,Quality is not at all good,Waste of MoneyAfter 1 month of usage quality is very much bad
1,Low grade material,The product is damaged in a month's time
1,Thin and not up to mark,Very thin
5,Very beautiful,"Very attractive, light weight, well designed... Satisfying mat, same as shown in pictures..."
5,Fantastic Product,"I love this mat. It is so much more comfortable than a plastic one. For those who appreciate quality, this mat is definitely worth the price and a source of great pleasure."
5,If you're Looking for a chatai for your balcony go for it,Amazing work by the articians. Amazing quality. I was looking for chatai for my balcony to spend the evenings and it's pretty good for it.I bought it for 600 and it's worth.
4,Worth buying,Colour combination is so good.i like it very much
5,Good quality,Worth buying.
5,"Original ,close to nature.",Very nice
5,Nice Look,"Good look,soft and neet."
5,Great quality,For personal use!
4,Na,Na
5,Beautifully crafted,"It is an extremely well crafted mat. We have been using such mats since my childhood, but I had never come across such a beautiful one before. Its a little delicate as compared to others i have used before. But the quality of the straw s is also equally fine.... Definitely Worth a buy. Just have to check how much it lasts after a long term daily use...(couldnt give it any less than 5 stars)"
5,Good beautiful,Excellent well designed knitted comfortable.But not for daily use since very delicate.
5,Very pretty.still to check its durability though.,It's very pretty and intricately made.colour combination is also very pretty.it is a delight to the eye.however we have still to find out how long it will last as it is a little delicate.
5,"Easy to wash dry and use , one can use it in multiple ways I preferred it over carpets or rugs",Easy to use
5,Super,Super
5,good,Good
5,good product,original product..good ..rarely found
5,Good one,Great buy
5,Good,Good
5,Good,Good product
5,Good product,"Good quality, fits description."
5,Loved it,Super amazing
5,Worth buying,Nice quality product at such reasonable rate.
5,Eco friendly mat,Very good mat.
1,Horrible,Quality is very poorSize is also not adequatePrice is very very highFeel like cheated by Amazon
5,Good,Nice product
5,Genuine,Genuine
5,Good quality,"It's good ,quality is also good..."
1,Waste of money ..,"Its completewaste of money ,the size is of a 4 year old kid.. you can get this one in kne third prize from any local market"
2,Product review,The product is costly
5,Excellent,Excellent quality.. Blessings
5,Excellent,Its nice
1,Not good,It's very slippery . Further I ordered for black border andI gotwith blue border. Not very happy...??
5,good purchase,good earthly and much better than rugs.
5,Very good,Very good
5,Awesome,Excellent...
5,Good,Very good.
5,Excellent product,Must buy
5,Looks good,I think the quality is worth it
1,Poor Quality,They sold a old unsold product which had insects on it and the grass used was in its dying state. It resembled a product used for years. Do not buy.
5,Grass Mat,Good...
2,Avoid,Cheap quality
5,Worth it!,"Love this product. It looks pretty. Good size. Exactly the way I expected it to be. Thank you so much. The product got a little delayed due to the lock down, but the wait was worth it. Thank you."
5,Isi product k,Very nice product bye again quality was very good every one bye it definitely hundred percent good product I will.
5,Good product,"Good seller, fast delivery, Nice product, value for money. Reminded me of old day chatai which we had in our homes."
4,Elegant,I have brought 2 of these. It's like ur yoga mat but made of grass. Looks elegant for floor seating. And I am enjoying using it. But what irked me is tat after purchase the seller kept bothering with calls for review saying he calling from Amazon. I have been using Amazon since 7 years and such nonsense has never happened. This is wat irritated me.
5,Good quality,Good quality
5,I liked it,Oh that feel of olden days. Recommended.
5,Very good,Product is good and it’s from nature .
5,Good product,Nice chatai!
5,Beautiful,Lovely chatai
5,Length,The length of the mat was very perfect fit!
4,Please add a string so that it can be used as a curtain as well.,Good product
4,Nice product,It's good product in comparison with other kusha asan. It's having safety with cloth boundary and finely prepared. Good finishing. Also too long that two people and a kid can sit in a row if someone wants to use while puja else it's multipurpose good feel.
5,Recommended,"Natural product. Paid a little more than INR 400. This is our second mat of this type. It is being used in the kitchen, so sees a significant amount of traffic. The first mat lasted for 1.5 years, which was longer than I expected. It is now being composted.In short, the mat is fit for purpose, and once worn out, it will leave not negative footprint on earth. Even the thread seems to be biodegradable."
3,Too small in size. Extremely narrow mat.,"Over priced product. Shouldn’t be more than 200 rupees for it.The mat is very narrow , it is also the size of a yoga mat. If you put it on the floor for sitting only the person can sit on it , if they lay down half his or her body will be on the floor.Definitely not worth the price. It is too small in size."
1,Not good.,"It's very thin, it will fry if a wind comes. Not at all good. I checked in local store the quality is too good and pair id just Rs. 430"
4,Too thin and costly,This floor mat is way too thin and not durable enough for the long term. Given the very ordinary quality of the product the price is certainly not justified.
5,Extremely comfortable and soft,Very soft and comfortable. I use it for yoga
3,Width is very small,Not as per my expectations
4,Good buy,It is good buy .... using traditional grass made mat is muxh better than plastic matsQuality is acceptable
4,Good mat,"I like mostly natural products, when I receiving the mat, size is small. During summer it is good for take rest in the floor."
4,Good product,Good product.... thickness could be improved to increase the durability but overall better...don't regret buying it...
4,Nice,I used as a floor mat to give my room an retro type look. The mat is a normal mat. Good binding.
4,Multipurposeyoga mat.,"Good quality grass mat, perhaps bit overpriced. It is not machine washable as stated in the product detail section."
4,Good quality,It is durable
4,Good one,For sitting during dinner
4,Good,Good product overall
4,Good one,Good one
5,Natural materials,The product is very good
3,Madur,Very small in size. Not much useful
4,Traditional Mat,Looks nice.
4,scope for improvement,Product is good doesn't look durable enough
2,Doesn't look fresh piece.,"I have ordered the largest size available, but still is small. The matabove looks old and has black formation on the mat. May be fungus. Hesitant to use it. You can see it in the pic for black dots."
5,Decent product to have it,"Size of this mat is reasonable for 3 person to sit. Thickness should have been slightly more. Otherwise good to have it at home especially in summer to sit, lay down & relax."
4,Good product,Good product
4,size is small,really good comfortable
5,Good product (mat),"Nice and good product. Took it for my father and he liked it. But hope it is made with durva grass(?) (this is a lingering doubt now)Else, the mat looks good and easy to handle.Thank youBest wishes"
3,Good one,Product is as per decription
5,Sturdy traditional chatai ideal for yoga.,These mats need no maintenance. We can comfortable practised yoga on it. Hemming at the edges is perfect.
5,loved the mat,"this mat is well made, emits smell of fresh grass, gives peace of mind when lying on itthank you for this beautiful mat"
5,Worth buy,Very comfortable to use its very cool to sleep during summer I'm very happy about the mat I have back muscles problem after I started using thisall pain has stopped very useful for me
3,I liked it most!,Like it!
4,value for money,Value for money
1,Itchy,Mat was itchy. Needed for floor sleeping. Maybe it was old. Very few of the grass strands had turned black in-between.
5,Good quality traditional mat,It is a perfect traditional mat. Came in good condition. Can be used for yoga or prayer or for decorative purposes.
4,Good quality,Good sturdy stuff..
5,Save Indian handicraft and buy this product,This product is a export quality product .It is hand made home grown product .We being indian should encourage to buy these products to save Indian handicraft .
4,Good product,It’s worth the price
4,Packing was totally damaged,Ok product.....good long but costly
4,Fine quality,Quality was good.
5,Nice product,It's good and thickness is as good as a floor mat and money some what high than expected. But quality is good
4,Lil expensive,"Bit pricy, bit a good product."
4,Superior product,Product is very good
3,Ok,It's width is very narrow
5,Good product,Got it for my mother. She liked it. Its nice to get handcrafted woven products online.
5,Value for money,The geometric floor mat is good product. Very comfort to use. The floor mat is too thin.
5,Value for money,The product is as per our expectations. Fit and finish is good . Value for money.
5,Material is good,"Foldable material , I used for pooja room."
5,Wunderbar!!!,Excellent product.. It has been a week since I purchased.. I am using it for my kid and its awesome..
4,Quality is good,Good ond but doesn't fit single divana
3,Not value for money,"I felt this is little expensive for the size it came in, also its not a sleeping mat"
5,Decent Product.,"Delivered at right time, pretty durable, overall satisfied."
5,Nice,I like the product I use for home decor
5,Good,Its a great product
4,Satisfied,Very good product...
5,Nice product,The product is good and same as described.
3,normal quality mat.,normal quality mat. a few broken sticks are stretching here and there.
5,Worth it,Very nice product. Meets expectations. Really durable and pretty.
5,Please make a big size mat,Good product
5,Nice product,"Gives an ethenic or bohemian touch to your interiors, depending on the way you want."
5,Nice,"Excellent product, got what mentioned in the website"
5,Just awesome,Excellent
4,worthy to buy,i like this product
5,Completely satisfied,"Very comfortable, easy to fold and carry wherever we travel. Overall completely satisfied."
3,Narrow,Quality is good .but wish is very low.
5,Excellent product,"As desired, it’s authentic product. The smell of grass is so refreshing while exercising, compared to the rubber mats. Highly recommended"
5,Very good traditional mat / chatai,Very good traditional mat / chatai.
5,Good,It's the perfect size that I was looking for. Simple clean design!
5,Well made and durable product,Quality of this mat is really good. Well made and durable product.. Recommended
5,Yes it's a very nice product. Keep it up,Yes it's a very nice product. Keep it up
5,Value for money!,The product is very good. Its so comfortable to use.
5,Recommended,Good product
5,Good Product,Good product. Value for money
5,"It’s value for money, I liked it.","It’s value for money, I liked it."
2,Coir mat good than plastic,Too much length. But very less width.
5,Really good Matt,"Matt is really good. It will use for single person, the width is small."
5,Value for Money,Very nice product
5,Desi classy,I bought it to hang as decor on my balcony tops .. it looks Desi classy and is durable in rain and heat ...
5,Nice,Good Product
5,Good buy,The product is really good.
5,Great Product!! Value for money!!,Great Product!! Value for money!! Very much durable!!
2,Low width and poor quality,"Poor quality and low width, waste of money,not useful product"
5,Perfect product,Exactly how it is shown in picture
5,Good product,I am satisfied with the product.
5,Good quality,Good
5,Very Good product,Loved the product.. looks very traditional..
5,Good,Good
5,Beautiful,Great product
4,Good product,Good product
5,Good,Good product.
5,Traditional..Value for money Please support handicraft ..thanks,It's value for money..V.good like the product..It's traditional..
5,"Good quality, but not met the size",It's good but size is not met as per expectation.
5,Comfortable,Nice product
3,Quality awesome,Width should b double
3,Good one but costly,Too costly
3,Ok,Ok worth for money but size was some mismatch
5,Durability,Durability.
5,Good,Good
3,Costly,Rate is high
5,Great buy,Nice. Difficult to find elsewhere
5,Must buy,I love this product.
5,Good Product,Well made and durable mats.Excellent Customer Service.
5,Good product!!,Good one
5,Good,Good
5,Good buy,Very good product
5,Matt Review after 2 Months,Good and value for Money!
5,good one,good one
5,"Good product, as expected",Good product
3,worth buying,The product is the way expected .
5,Worth Buying..,Nice product. Worth buying..
5,Decent,Decent product
5,Very nice,Very nice ...loved it
5,Handmade organic eco-friendly mat,Product quality is good
5,Good product,Very earthy looking
5,Good,Good
5,Well packed,Good product.
5,Good product,Has been a satisfying product
5,Great product,Sturdy great product
5,Nice product,Good
5,Good Product,Light weight
5,Good one,V good product
5,Good,Good
5,Great,Worth the money
2,Till now it looks average....very narrow...,Till now it looks average....very narrow...
5,Value for money,Grass quality is good and looking classy
5,Satisfactory,Matches the description.
2,Not Worthy,Not worth for it's price
2,Not a traditional standard size,I'm not sure this is value for money
2,It is hazardous to walk on it.,The mat folds when you walk on it you can fall due to these folds.
5,Good one,It's cool and useful
5,100% biodegradable mat,This mat is very sturdy and its simplicity is very beautiful and most other mats are made of plastic rope but this mat is woven from jute rope which I like very much. And it's 100% biodegradable which is extra special. I've been looking for something like this for so long. Thank you for selling it on amazon. The only package is non-biodegradable . I understand that you used bubble wrap to make it safe. They say it will take 500 years to decompose from this earth. Try to use any alternative products. thank you very much.
4,good product,good product but i ordered bigger size its costly cause same mats you get for half the price
5,Durable and ,Best korai grass mats for outdoor use
5,"Highly recommended, traditional,best quality","First of all, it's having nice have to it. The size is as mentioned.
The organic grass layers are kept side by side and bolstered together by coloured threads to give a pattern Since the grass comes in particular size only (which is long enough), the full width is made by folding equal sized layers which is innovative.
The texture is the one which reminds me of the childhood so I bought it. It's definite recommended, a useful addition to any home. Pictures of beautiful texture are attached."
4,Natural good product,Good product . Durability have to be assessed with use. Authentic grass mat. Natural eco friendly . Felt it's a bit overpriced
5,superb,Genuine product. The intricate design has been made by stiching with colored threadsnot paint. Laborious work handmade.
5,Eco friendly folding mat,"Very good product, really useful for travelling , yoga purpose."
5,Non-plastic mat,"It's not plastic, that's best satisfaction for me. Good quality, value for money."
5,Excellent quality,"Very good for the price. Adequate thickness, comfortable and easy to carry!"
5,Great product,Great Product..
5,Best design,Good product with great quality
1,Waste of money,Only looks good in pic
5,Nice craftsmanship,Nice craftsman ship Compact and space saving when folded Uniform quality of the knitting Less weight but stronger
4,Mobtelal Store,Product is good quality is good but in opinion price is high .
3,It's is Okay - Average quality,I was expecting more durable and nice looking but it is of okay type.
4,Looking Beautiful,Look-wise it is beautiful.But price is on higher side and it is very thin so if we use it on daily basis it may not last long.
5,Weaving with thread is nice. Overall is best in quality. ??,Value for money.
1,Quality issue,Fibers started coming off in 2 months .Didn't expect thisI have asked seller for the replacement.
5,Awesome,"This product is very beautiful. After seeing it, it feels it’s price is zero because this beautiful handmade material gives you priceless satisfaction.... it is weaved very finely, colour combination is Awesome, it reminded old time .... it looks very rich .... throw plastic and please buy such a item in your home..... everyone is asking me from where do you buy these aasans.... ??????Just go ahead and have this in your collection..Be Indian and buy Indian"
5,Very good quality,Nice color
5,Loving it,Put the mat on foam mattress to avoid the heat coming from matress in summer. Enjoying the natural fibre coolness. Reduced my nerve pains caused by heat radiated from foam matress.
3,price is high quality compare,Durable compare to money
5,Looks modern and quality of the product looks good.,"Delivered the product as described in product description. Looks modern and quality of the product is good. Quick delivery, well packaged and delivered without any damage(s). Size (4.5 X 6.5 Feet) is very good for sitting as well for sleeping. As the mat is 3 folded, it is very easy to pack and store it. Regarding the price, slightly more expensive. When more people buys, probably product price falls!"
5,Good,The mat is very good. It has 3 partitions. Comfortable for 3 people to sleep at once.
5,Beautiful & nice hand carfted product,It is beautifully crafted natural eco friendly product
4,Good,Good product not rugged use
4,My experience,Good quality material. The actual item looks exactly the same it is displayed in the photo. I'm happy with my purchase.
5,Good,"It's a good mat. Not very strong though it serves my purpose. I use it on top of my mattress to decrease heat and this works well. The ends don't fold well, I hope the seller can fix that. Also, I worry that it might not last long."
5,Beautiful design and a quality handicraft,"This grass mat has a beautiful design, being foldable makes it easy to store and is portable. Can be used for Yoga as well as family picnic or likewise. Being made of natural grass lends an earthy feel to it. Nature lovers go for it."
5,Excellent product,Superb product quality and construction. Glad that I bought it.
4,quality,Nice product
4,Good quality,Quality is good and durable.
5,Beautiful Chatai,Beautiful and functional. I am very happy with the purchase
5,Very nice...,"Dense wieving ,it can be folded in smaller size."
5,A good purchase.,It is a wonderful product. Looks very classy and comes handy while hosting guests or friends.
5,Beautiful !,Really nice! Finely woven..May the ruralindustry flourish..
5,Unique Floor Mat,Rare that we get to see such thread work designs on these mats. Very traditional and ethnic in design. Loved the product.
5,loved it,i simply loved it.. its color is so good and put together nicely too ..
5,Good product,Good product
5,Good product,Mat is "as per description" and we are using it in our family for about a month now. Satisfied with the quality.
5,Good Product,"Good product. The stiches in the fold8ing are good. Feels cool , great for summer."
1,"Smelly and unhygienic use of raw coir, wasted",It was smelly and disgustingNatural raw material is wasted due to bad craftsmanship and negligence of qualityWill not recommend it
5,I purchased second time,"Excellent Good for yoga, NAMAZ ,sleep Easy for transportation"
5,Looks divine,Nostalgic Mat..
5,Too good,"Product is similar as seller described, l liked the punctuality"
5,Good.,Thin and light weight chatai. I like it. Thanks to seller and Amazon.
5,Beautiful kush ashan and mat,"Nice product, thanks Amazon for providing such beautiful product on line"
5,Mat,"Good product, I am satified"
1,Worst,Worst product. Dust a d fungus catcher. Different than image. Different color. Itchy feeling. Smaller than description.Also Not washable.
5,Good experience,Good product and timely delivery
4,Good product,Good one
3,Good,"The cost of mat is bit high, except cost product is good"
3,Good,"Nice and eco friendly mat. However, not suitable for yoga."
5,Good and Huge mat!!,"I am impressed by the product qualify and size.Price must have been little less.However,I have got what I have expectedThank you!"
5,Handmade matt,"Product is very nice , looking very nice in living room , durability will not comment as it is one month since I purchased."
5,Great for Yoga,"Great quality , can be used for yoga and for different purposes."
5,VFM hand made product,Durability and confort is good. Also well knitted fibres. VFM product.
5,Very nice,Good intricate weaving. Good design. Very easy to use and store. A bit costly. But if village artesans benefit then it is worth.
5,Nice mat.,Nice products. I personally like the product quantity. But little but smaller then as I was expected. Overall good product.
5,Nice product and keep the surface cool during summer,Product looks good. Does not get heated easily when kept on roof top even in summer. Overall it’s a nice. Recommended.
5,Great,Best product. Will love it if you use it..
5,comfort,this is general purpose foryoga and sitting at Balcony etc
5,Superb,N8ce
5,Beautiful,Really a nice mat. Good quality and beautiful. I really like that it’s organic thus good for health and the environment. Would totally recommend. Value for money.
5,We'll made and durable product.,Quality of this may is really good.Well we'll made and durable product.... RECOMMEND!
5,Superb mat and made of very good qaulity material.,Superb mat and made of very good qaulity material.
5,Amazing,Go for it..its a good quality product.color is very pretty..I just loved the product.
5,It's good.,I'm happy with product. It's just what we wanted. Quality is as expected.
5,Exactly what I needed..,"V good quality, compact in size after folding and fit for purpose"
5,Convinient play mat!!!,Great play mat for my child.
5,Best buy,"I had a similar one that I had picked up from an exhibition.When I ordered I was not too sure, but it turned out to be just perfect!Love it... It's great quality and value for money"
5,Good Quality,Good Quality may but little expensive
4,Useful product,"Very good product. I have used it for 3 months now and very satisfied. Good design , strong threads . Please don't use it on rugged surface."
4,Good quality.,Good.
5,It's good in quality and nice looking.,Because its good for use.
3,Length short than described,"The product is made of good material and has good finish,but, the length of the mat is 76 inches whereas in product description it was shown as 80 inches, which I did not expect. I hope seller can explain about this and not repeat this thing in future."
4,Good product,Good product for size but already coming apart ..within months..
4,Quite satisfied,"I like the product, would hve been better if slightly thicker, which would make it more durable too."
5,One must have it.,Guys if you are planning for a trip with your family or for any family function..you can go for it without giving any second thought.. it's totally worth it.. it's very comfortable n it's design is also very classy.. one of my best purchase from Amazon.. Thank You
4,Must buy,"Value for money, it’s a nice quality Matt, with nice imprint on it. Feels durable."
5,Quality Mat,This mat looks authentic and the quality is goodLook and feel is also good. I havent used it much so can't comment on qualityThough the price is on higher bit since it is handmade I thought of going for it. I am happy with the product quality and stitch quality
4,Too good product,"Very nice product, looks good as per the description"
2,I won't suggest you to buy??????,"Guys,I brought this and within 2 weeks this mat got torned out, the mat was not thick and it's very delicate in the joints which were joined together.Better than this I would suggest you to buy the local mat which is not plastic and that is having enough thickness and also you can buy 2 which comes with long durability"
4,"Good quality Handmade product, well designed and nice look",Best product in my search till now. Slightly overpriced but good quality
4,Can use it,Looking very nice
4,Decent product,Product is decent. Serves the purpose.
5,"Very nice, foldable, must buy ??","Good mat, kusha used, so good as aasan,as well as used as yoga mat. It is foldable, color good, good product"
4,Best product,"Good product, Same colour as seen in picture.Best pakaging"
4,Good product,Good product. You can consider it.
4,Good material,Excellent material but i was looking more bigger one.
4,so comfortable,it's thin
5,"It’s natural , comfortable and looks nice","Product is very well woven mat and colours are just fine . Thickness is just ok, not very thick. Seams are well stitched with cloth edges. Overall Iam satisfied with product."
5,Beautiful & good quality natural mat.,I was looking for natural mat for my daughter to play & never wanted rubber / plastic mats.One of the beautiful product & an awesome product.Infact first two days my daughter slept that mat though she’s has her own bed though.
4,Good,Good
4,Nothing,Liked
3,Not value for money,It's very thin and gets wearied. Cost is too much.better product is available with same cost
4,A good one,Nice mattress
5,Excellent,Was looking for decent grass mat for a while. Finally I was able to find thank you Amazon & Montisa.Craftsmanship & Quality is too good.Traditional look & decent price adds feather to the product.
5,Excellent product,The product is really awesome and value for money. It’s completely eco friendly and comes with excellent design and colour combination. The design is very fine and carefully crafted. It’s a good buy.
3,Lil expensive,Product is good but not worth the money
5,Na,Value for Money.Quality is so good that I will suggest everyone to get it.
5,Great hand work,"just loved it. Not thick, it is beautifully handcrafted. I loved the intricate work."
5,How soft the mat is.,Bought because Organic Eco-Friendly River Grass Mat/Natural Fibre mat/Korai Grass Mat
5,Good,It's a good mat. Value for money.
5,Awesome Product! Number 1,Awesome product. Great value for money. It's comfortable. Look no further!
5,.,Looks good
5,Aesthetic Masterpiece.,It’s a well crafted product. Gives more value than its cost.
5,Great product,Great product. looks great and the quality is great
5,Awesome Product,"Purchased nearly a month ago..Looks good,Loved the product."
5,"Organic, made in India mat. Easy to wash, store and show off",Adds spunk to my living room decor.
5,Love the Product Design. Vocal4Local,Love the product. Stylish and usable product
5,Comfort...Very muchsatisfied with the product,Satisfied with the product
5,Excellent,Used and was comfortable.... it doesn’t feel pricke
5,Good,Good
5,Nice & worth to money,It’s a nice product
5,Best product,Best product. Little less price is appreciated for re orders
5,It’s very good profuct,Liked very much
5,Awesome Product,Very good quality.
5,Good purchase,Awesome product guys go for it
5,Beautiful Product received as shown in image,Value for money
